EGP_ID;SuperCategory;SubCategory;Level;Type;Guideword;Can-do statement;Example
204;DETERMINERS;possessives;A2;FORM;FORM: WITH QUANTIFYING DETERMINERS + 'OF' ;Can use quantifying determiners + possessive determiners + 'of' + noun. ► noun phrases;"All of my friends were there. (Brazil; A2 WAYSTAGE; 2004; Portuguese; Pass)

I bought some T-shirts and jeans, because some of my clothes are too small for me. (Taiwan; A2 WAYSTAGE; 2008; Chinese; Pass)

Bring some of your DVDs. (Italy; A2 WAYSTAGE; 2009; Italian; Pass)

But after that I saw that I spent all of my money! (Cyprus; A2 WAYSTAGE; 2008; Turkish; Pass)

I spent a long time receiving presents, all of my family were here. (Brazil; A2 WAYSTAGE; 2004; Portuguese; Pass)"
205;DETERMINERS;quantity;A2;FORM;FORM: WITH PLURAL NOUNS ;Can use an increasing range of quantifying determiners with plural nouns ('all', 'both', 'a few').;"This notice is for all students: we are going to have a concert at school. (Spain; A2 WAYSTAGE; 2005; Spanish - European; Pass)

It was exciting as both teams played well, but India won the match. (India; A2 WAYSTAGE; 2007; Hindi; Pass)

I'm just writing to say hello, and to tell you a few things. (Spanish - Latin American, A2 WAYSTAGE, Pass, 2008)
"
206;DETERMINERS;quantity;A2;FORM;FORM: WITH PLURAL AND UNCOUNTABLE NOUNS;Can use a range of quantifying determiners ('some', 'any', 'no', 'more', 'a lot of') with both plural nouns and uncountable nouns.;"I think we should bring some water to drink. (Cyprus; A2 WAYSTAGE; 2006; Turkish; Pass)

I bought them because I don't have any clothes for the summer and I need them! (Spanish - European, A2 WAYSTAGE, Pass, 2008)

The weather was great. There were no clouds. (Japanese, A2 WAYSTAGE, Pass, 2009)

I want to see that film but I have no time today because I have more work at home. (Sri Lanka; A2 WAYSTAGE; 2003; Tamil; Pass)

If you want more details, you can call this number. (Sri Lanka; A2 WAYSTAGE; 2010; Singhalese; Pass) 

We will meet at my house at 10.15, so we will have more time in the club. (Spanish - Latin American, A2 WAYSTAGE, Pass, 2008)

We danced, played games and had lots of fun . (India; A2 WAYSTAGE; 2004; Gujarati; Pass)"
207;DETERMINERS;quantity;A2;FORM;FORM: WITH SINGULAR NOUNS ;Can use an increasing range of quantifying determiners with singular nouns ('each', 'an', 'one' and numbers). ;"The new art class starts next Monday and each class is about 1 hour long. (Hong Kong; A2 WAYSTAGE; 2006; Chinese; Pass)

Yesterday I bought three t-shirts: one blue t-shirt, one pink t-shirt and one yellow t-shirt. (Spain; A2 WAYSTAGE; 2008; Spanish - European; Pass)

We have an extra ticket and are wanting you to come. (India; A2 WAYSTAGE; 2009; Hindi; Pass)"
208;DETERMINERS;quantity;A2;FORM;FORM: 'MUCH' WITH UNCOUNTABLE NOUNS, NEGATIVE;Can use 'much' with uncountable nouns in negative contexts. ;"But we didn't have much money, so we didn't buy many things. (Vietnam; A2 WAYSTAGE; 2009; Vietnamese; Pass)

I want to sell the television because I haven't got much time to watch it. (France; A2 WAYSTAGE; 2002; French; Pass)"
209;DETERMINERS;quantity;A2;FORM;FORM: 'MANY' WITH PLURAL NOUNS, NEGATIVE;Can use 'many' with plural nouns in negative contexts. ;"There aren't many tickets. (other; A2 WAYSTAGE; 2010; Others; Pass)

I bought them because I haven't got many winter clothes. (Spain; A2 WAYSTAGE; 2008; Spanish - European; Pass)"
210;DETERMINERS;quantity;A2;FORM;FORM: 'SO MANY' WITH PLURAL NOUNS;Can use 'so many' and 'too many' with plural nouns. ;"We played so many games, like dog and bone, four corners, and many more. (India; A2 WAYSTAGE; 2004; Gujarati; Pass)

We visited so many places, mostly monuments. The weather was perfect. (Philippines; A2 WAYSTAGE; 2009; Tagalog; Pass)

I know, I bought too many things but I liked all of them. (Turkey; A2 WAYSTAGE; 2008; Turkish; Pass)"
211;DETERMINERS;quantity;A2;FORM;FORM: DETERMINER + 'OF' + DETERMINER;Can use a range of quantifying determiners + 'of' + determiner ('all of', 'some of', 'both of', 'many of', 'any of', number + 'of', 'each of'). ► pronouns: quantity;"I spent all of my money! (Turkish, A2 WAYSTAGE, Pass, 2008)

Some of my friends gave me books. (Farsi, A2 WAYSTAGE, Pass, 2004)

The competition was very tough because both of the teams were good. (Bengali, A2 WAYSTAGE, Pass, 2007)

Many of my relatives and friends had come. (Tamil, A2 WAYSTAGE, Pass, 2004)

I enjoyed the party. I had invited five of my friends and my family. (Gujarati, A2 WAYSTAGE, Pass, 2004)

Without a library card you can't take any of the books with you. (Saudi Arabia; A2 WAYSTAGE; 2005; Urdu; Pass)"
212;FUTURE;future continuous;A2;FORM;FORM: AFFIRMATIVE WITH 'WILL' ;Can use the affirmative form with 'will'.;"I'll be waiting for you. (Portugal; A2 WAYSTAGE; 2009; Portuguese; Pass)

We will be starting at 12 o'clock this afternoon. (Malaysia; A2 WAYSTAGE; 2006; Chinese; Pass)"
214;FUTURE;future with will and shall;A2;FORM;FORM: AFFIRMATIVE 'SHALL';Can use the affirmative form 'shall' with 'I' and 'we'. ;"I shall come with you. (India; A2 WAYSTAGE; 2003; Hindi; Pass)

We shall take a bus to the sports centre. (Hindi, A2 WAYSTAGE, Pass, 2008)

We shall go together next year! (Brazil; A2 WAYSTAGE; 2007; Portuguese; Pass))"
215;FUTURE;future with will and shall;A2;FORM;FORM: NEGATIVE 'WILL';Can use the negative forms 'will not' and 'won't'.;"Without them I will not be able to play football. (Spain; A2 WAYSTAGE; 2005; Spanish - European; Pass)

Can you come at 7 o'clock? I won't be at home before.  (Italy; A2 WAYSTAGE; 2009; Italian; Pass)"
216;FUTURE;future with will and shall;A2;FORM;FORM: QUESTIONS ;Can use the question forms of 'will' and 'shall'.;"Will you come? (Russia; A2 WAYSTAGE; 2006; Russian; Pass)

And what shall I bring to the party? (Italy; A2 WAYSTAGE; 2009; Italian; Pass)"
222;FUTURE;future with be going to;A2;FORM;FORM: AFFIRMATIVE;Can use the affirmative form.  ;"[about some new jeans] I 'm going to wear them on holiday. (Turkey; A2 WAYSTAGE; 2008; Turkish; Pass)

It is going to start at half past four. (Spain; A2 WAYSTAGE; 2006; Spanish - European; Pass)

[about the weather] It's going to be hot. (Taiwan; A2 WAYSTAGE; 2008; Chinese; Pass)

We are going to take a taxi to get to the sports centre. (Brazil; A2 WAYSTAGE; 2008; Portuguese; Pass)"
223;FUTURE;future with be going to;A2;FORM;FORM: QUESTIONS;Can use the question form. ;"What are you going to wear? (Italy; A2 WAYSTAGE; 2008; Italian; Pass)

What colour paint are we going to use? (India; A2 WAYSTAGE; 2006; Hindi; Pass)

Are you going to come tomorrow evening? (Spain; A2 WAYSTAGE; 2009; Spanish - European; Pass)"
228;FUTURE;present simple for future use;A2;FORM;FORM: WITH 'WHEN';Can use the present simple with 'when' to refer to the future. ;"I'll tell you more when I meet you. (Vietnam; A2 WAYSTAGE; 2009; Vietnamese; Pass)

Can you, please, call me when you find it? (Brazil; A2 WAYSTAGE; 2005; Portuguese; Pass)"
231;MODALITY;adjectives;A2;FORM;FORM: 'BE' + 'SURE' + CLAUSE ;Can use 'I' + 'be' + 'sure' + clause.;"I'm sure I can beat you at chess. (Malaysia; A2 WAYSTAGE; 2007; Malay; Pass)

I am not sure what I want to do but I am sure we will find something to do. (Norway; A2 WAYSTAGE; 2003; Norwegian; Pass)

I’m sure that you will love it. (Brazil; A2 WAYSTAGE; 2009; Portuguese; Pass)"
234;MODALITY;have (got) to;A2;FORM;FORM: AFFIRMATIVE;Can use the affirmative forms. ;"This weekend I have to go to a party. (Hungarian, A2 WAYSTAGE, Pass, 2008)

We’ll meet at four o'clock because my mom has to go to the Shopping Centre then. (Portuguese, A2 WAYSTAGE, Pass, 2008)

You have got to bring a cap for the sun. (Spanish - European, A2 WAYSTAGE, Pass, 2009)

For the art lessons we've got to bring a rubber, two pencils and some colour pencils. (Spanish - European, A2 WAYSTAGE, Pass, 2006)"
235;MODALITY;have (got) to;A2;FORM;FORM: NEGATIVE;Can use the negative forms. ;"You don't have to bring many things with you. (Greek, A2 WAYSTAGE, Pass, 2006)

About the transport, you do not have to worry as my daddy can drop us at the sports centre. (Malay, A2 WAYSTAGE, Pass, 2008)

We haven't got to bring anything with us.  (Basque, A2 WAYSTAGE, Pass, 2006) "
236;MODALITY;have (got) to;A2;FORM;FORM: QUESTIONS;Can use the question forms. ;"What do you have to wear? (Thai, A2 WAYSTAGE, Pass, 2006)

What do we have to bring? (Basque, A2 WAYSTAGE, Pass, 2006)

Do you have to wear a skirt? (Spanish - Latin American, A2 WAYSTAGE, Pass, 2008)

Have you got to bring a pencil? (Catalan, A2 WAYSTAGE, Pass, 2006)"
238;MODALITY;may;A2;FORM;FORM: AFFIRMATIVE;Can use the affirmative form. ;"[talking about clothes] So I may need them. (India; A2 WAYSTAGE; 2008; Gujarati; Pass)

I think it may be dirty. (Thailand; A2 WAYSTAGE; 2006; Thai; Pass)"
240;MODALITY;might;A2;FORM;FORM: AFFIRMATIVE;Can use the affirmative form. ;"The weather might be hot and sunny. (Spanish - Latin American, A2 WAYSTAGE, Pass, 2009)

I think it might be in your bedroom. (Portuguese, A2 WAYSTAGE, Pass, 2005)"
242;MODALITY;must;A2;FORM;FORM: AFFIRMATIVE ;Can use the affirmative form. ;"You must wear your sports shoes and you must also bring your racket! (Greek)

I must be back at 10.15. (French)"
243;MODALITY;must;A2;FORM;FORM: NEGATIVE ;Can use the negative forms.;"… you mustn't forget to buy some strawberry juice for us. (Portuguese, A2 WAYSTAGE)

You must not wear a white colour shirt, you can only wear a dark colour shirt. (Chinese, A2 WAYSTAGE)"
245;MODALITY;shall;A2;FORM;FORM: AFFIRMATIVE;Can use the affirmative form. ;"We shall start tomorrow at 2 o'clock. (Marathi, A2 WAYSTAGE, Pass, 2006)

I shall be free on Sunday at 6 o'clock in the evening. (Ukraine; A2 WAYSTAGE; 2005; Russian; Pass)"
246;MODALITY;shall;A2;FORM;FORM: QUESTIONS;Can use the question form.;"Shall we meet at half past 4 in front of my house? (Japanese, A2 WAYSTAGE, Pass, 2008)

What time shall I come? And what shall I bring to the party? (Italian, A2 WAYSTAGE, Pass, 2009)"
249;MODALITY;should;A2;FORM;FORM: AFFIRMATIVE;Can use the affirmative form. ;"You should come at 6 o'clock. (Russian, A2 WAYSTAGE, Pass, 2009)

Someday we should go there together. (Portuguese, A2 WAYSTAGE, Pass, 2010)

We should buy 2 tickets. (Chinese, A2 WAYSTAGE, Pass, 2010)"
250;MODALITY;should;A2;FORM;FORM: NEGATIVE;Can use the negative form.;"You shouldn't miss it. (Thai, A2 WAYSTAGE, Pass, 2007)

It is a new flat, so there shouldn't be any problems. (A2 WAYSTAGE; 2009; Polish; Fail)

I think you should not wear your favourite clothes because they may get dirty. (Thai, A2 WAYSTAGE, Pass, 2006)"
251;MODALITY;should;A2;FORM;FORM: QUESTIONS;Can use the question form.;"Should I wear special clothes? (Farsi, A2 WAYSTAGE, Pass, 2006)

It's going to be in São Paulo. Should we go by plane? (Portuguese, A2 WAYSTAGE, Pass, 2009)"
255;MODALITY;will;A2;FORM;FORM: NEGATIVE;Can use the negative forms.;"Don't worry, you won't need anything apart from some pencils and your art book. (Italy; A2 WAYSTAGE; 2006; Italian; Pass)

I hope it will not be boring! (France; A2 WAYSTAGE; 2006; French; Pass)
"
256;MODALITY;will;A2;FORM;FORM: QUESTIONS;Can use the question form.;"Will you be at home? (France; A2 WAYSTAGE; 2005; French; Pass)

I'm happy because I'll see you tomorrow, but what time will you be here? (Spain; A2 WAYSTAGE; 2009; Spanish - European; Pass)
"
260;MODALITY;would;A2;FORM;FORM: AFFIRMATIVE;Can use the affirmative form.;"I'd love to have a pen-friend in Japan. (China; A2 WAYSTAGE; 2002; Chinese; Pass) 

[talking about what day to go to the cinema] I would prefer Sunday afternoon. (Chinese, A2 WAYSTAGE, Pass, 2003)"
261;MODALITY;would;A2;FORM;FORM: NEGATIVE;Can use the negative forms.;"[talking about clothes] You wouldn't believe how much they cost! (Chinese, A2 WAYSTAGE, Pass, 2008)

I think we would not need much money. (India; A2 WAYSTAGE; 2010; Panjabi; )"
262;MODALITY;would;A2;FORM;FORM: QUESTIONS WITH 'LIKE';Can use the question form 'would you like'.;"Sarah, would you like to play tennis this evening? (Portuguese, A2 WAYSTAGE, Pass, 2008)

I'm going to a concert on Saturday. Would you like to go with me? (Croatian, A2 WAYSTAGE, Pass, 2009)

I want to watch the film, would you like to come with me? (Arabic - Meghreb, A2 WAYSTAGE, Pass, 2003)"
267;MODALITY;adverbs;A2;FORM;FORM: CLAUSE POSITION;Can use adverbs of certainty and possibility ('maybe', 'perhaps'), before a clause or ellipted clause. ► adverbs: position;"I think I left my phone there, maybe in your kitchen. (Italy; A2 WAYSTAGE; 2005; Italian; Pass)

Maybe we could visit that park you told me about or play at your house. (Mexico; A2 WAYSTAGE; 2003; Spanish - Latin American; Pass)

I want to buy new trousers and, perhaps, a T-shirt. (Spain; A2 WAYSTAGE; 2001; Catalan; Pass)

There you can dance, eat, drink and meet new friends (or perhaps a girlfriend). (Brazil; A2 WAYSTAGE; 2010; Portuguese; Pass)

Perhaps it's in the kitchen under the table. (Switzerland; A2 WAYSTAGE; 2005; Swiss German; Pass)"
268;NOUNS;noun phrases;A2;FORM;FORM: DETERMINER + UNCOUNTABLE NOUN;Can form simple noun phrases with a limited range of determiners + uncountable nouns.;"The food was delicious and the music was great. (Turkey; A2 WAYSTAGE; 1999; Turkish; Pass)

The weather was so cold. (Philippines; A2 WAYSTAGE; 2009; Chinese; Pass)

I phoned for more information two days ago. (Italy; A2 WAYSTAGE; 2006; Italian; Pass)

[talking about a book] It is very important because I need to do some homework in it. (India; A2 WAYSTAGE; 2005; Marathi; Pass)"
269;NOUNS;noun phrases;A2;FORM;FORM: DETERMINER + NOUN;Can form simple noun phrases by pre-modifying nouns with an increasing range of determiners.;"There are so many shops, you can play games, eat food like Chinese food. (China; A2 WAYSTAGE; 2001; Chinese; Pass)

I had so much fun! (Italy; A2 WAYSTAGE; 2008; Italian; Pass)

I spent too much money, five hundred euros, but I don’t mind because they are beautiful! (Italy; A2 WAYSTAGE; 2008; Italian; Pass)

I visited a lot of museums and I went shopping. (Argentina; A2 WAYSTAGE; 2009; Spanish - Latin American; Pass)

All of our classmates were there and some of my cousins too. (Malaysia; A2 WAYSTAGE; 2004; Chinese; Pass)"
270;NOUNS;noun phrases;A2;FORM;FORM: NOUN PHRASES WITH ADJECTIVES;Can pre-modify noun phrases with a limited range of more than one adjective. ;"I bought a beautiful pink skirt and a white top. (Italy; A2 WAYSTAGE; 2008; Italian; Pass)

Lysiane is taller than me and she has short black hair. (A2 WAYSTAGE; 2010; Portuguese; Pass)

It is a beautiful old city and there is the old wall around the city. (Latvia; A2 WAYSTAGE; 1999; Russian; Pass)

I left my small white bag. (Argentina; A2 WAYSTAGE; 2005; Spanish - Latin American; Pass)

Don't forget to wear old, comfortable clothes. (Peru; A2 WAYSTAGE; 2006; Spanish - Latin American; Pass)"
271;NOUNS;noun phrases;A2;FORM;FORM: WITH RELATIVE CLAUSE AS POSTMODIFIER;Can post-modify noun phrases by using a non-defining relative clause. ► Clauses: relative;"She's in a volleyball team like me, but we're not in the same one. She was for the other team, which lost. (Switzerland; A2 WAYSTAGE; 2007; Swiss German; Pass)

You can always visit our Shopping Centre, which is one of the biggest in Brazil. (Brazil; A2 WAYSTAGE; 2001; Portuguese; Pass)
"
272;NOUNS;noun phrases;A2;FORM;FORM: WITH RELATIVE CLAUSE AS COMPLEMENT;Can form complex noun phrases by using a defining relative clause as a complement to a noun phrase. ► Clauses: relative;"The mobile phone which I bought yesterday is brilliant. (Russia; A2 WAYSTAGE; 2007; Russian; Pass)

The person who gave me it was my father. (Portugal; A2 WAYSTAGE; 2004; Portuguese; Pass)

The last day when we can see the movie is Thursday. (Romania; A2 WAYSTAGE; 2003; Romanian; Pass)

I want to invite you to a pop concert that is going to take place in the National Stadium. (Peru; A2 WAYSTAGE; 2009; Spanish - Latin American; Pass)

The music that I like is Rock &amp; Roll. (Russia; A2 WAYSTAGE; 2005; Russian; Pass)"
273;NOUNS;noun phrases;A2;FORM;FORM: POSSESSION WITH ''S' + NOUN;Can use possessive determiner ''s' with a singular noun. ;"It's my sister's jacket. (Uruguay; A2 WAYSTAGE; 2005; Spanish - Latin American; Pass)

I bought a red tie because next Sunday it will be my father's birthday. (Italy; A2 WAYSTAGE; 2008; Italian; Pass)

Yesterday about 8 pm, when I was coming back home from a shop, I saw two men near my neighbour's car. (B1 THRESHOLD; 2007; Slovak; Pass)"
274;NOUNS;types;A2;FORM;FORM: '-ING' FORMS, OBJECT  ;Can use the '-ing' forms of verbs as nouns, in object position, to refer to activities. ;"There we did a lot of things like swimming from the beach and going shopping. (Uruguay; A2 WAYSTAGE; 2009; Spanish - Latin American; Pass)

I prefer dancing, but on Saturday I'd like to go to a jazz concert. (Spain; A2 WAYSTAGE; 2003; Spanish - European; Pass)

I practised windsurfing and scuba diving. (Argentina; A2 WAYSTAGE; 2009; Spanish - Latin American; Pass)"
275;NOUNS;plural;A2;FORM;FORM: PLURAL '-ES';Can form plurals by adding '-es' to countable nouns ending in '-o', '-ch', '-s', '-sh', '-x' or '-z'.;"The art classes after school are on Tuesdays. (Spain; A2 WAYSTAGE; 2006; Spanish - European; Pass)

Then I bought five different dresses. (France; A2 WAYSTAGE; 2008; French; Pass)

You have to bring your pencil, oil paint, some paint brushes, and the teacher will give you a palette. (Thailand; A2 WAYSTAGE; 2006; Thai; Pass)

Usually it is meat and potatoes or special dishes. (A2 WAYSTAGE; 2006; Pashto; Pass)

Bring some sandwiches and drinks. (Portugal; A2 WAYSTAGE; 2009; Portuguese; Pass)

A box of Dairy milk and 2 boxes of pens. (India; A2 WAYSTAGE; 2004; Hindi; Pass)

We have to bring paintbrushes of different sizes ? (Thailand; A2 WAYSTAGE; 2006; Thai; Pass)"
276;NOUNS;plural;A2;FORM;FORM: PLURAL '-IES';Can form plurals of countable nouns ending in a consonant plus '-y', by changing the 'y' to 'I' and adding '-es'.;"I have a lot of hobbies. (China; A2 WAYSTAGE; 2002; Chinese; Pass)

There were lots of activities to do. (Russia; A2 WAYSTAGE; 2009; Russian; Pass)

I bought some jeans and costumes because I have a lot of parties this month. (Cyprus; A2 WAYSTAGE; 2008; Greek; Pass)"
277;NOUNS;plural;A2;FORM;FORM: IRREGULAR PLURAL NOUNS;Can form some irregular plural nouns.;"It was a sale and I bought some clothes for my children. (A2 WAYSTAGE; 2008; Somali; Pass)

I ate fish and seafood, it was delicious. (Vietnam; A2 WAYSTAGE; 2009; Vietnamese; Pass)

She has black eyes, a beautiful round face and nice teeth. (India; A2 WAYSTAGE; 2010; Tamil; Pass)

The floor in the kitchen has many holes and I think there are mice. (A2 WAYSTAGE; 2009; Polish; Pass)"
278;NOUNS;plural;A2;FORM;FORM: NOUNS ONLY USED IN THE PLURAL;Can use nouns that only have a plural form, with plural agreement. ;"I bought them because I feel comfortable when I am wearing these clothes. (Malaysia; A2 WAYSTAGE; 2008; Malay; Pass)

The clothes are very cheap in this shop. (Spain; A2 WAYSTAGE; 2008; Catalan; Pass)

The jeans were expensive, but the other things were very cheap. (Spain; A2 WAYSTAGE; 2008; Spanish - European; Pass)

Please wear some shorts and a shirt. (Switzerland; A2 WAYSTAGE; 2008; Swiss German; Pass)

I left my glasses in your house last night. I need them, because I can't see anything. (Czech Republic; A2 WAYSTAGE; 2005; Czech; Pass)"
279;NOUNS;uncountable;A2;FORM;FORM: UNCOUNTABLE NOUNS;Can use a limited range of uncountable nouns. ;"I listen to music, I watch TV and I talk to my friends. (Italy; A2 WAYSTAGE; 2000; Italian; Pass)

The weather there was cold. (Taiwan; A2 WAYSTAGE; 2009; Chinese; Pass)

Come to my house at 4.30 pm so we have time to get ready. (Uruguay; A2 WAYSTAGE; 2008; Spanish - Latin American; Pass)

I ate a lot of meat. (Mexico; A2 WAYSTAGE; 2004; Spanish - Latin American; Pass)

Do you have any furniture in this room? (A2 WAYSTAGE; 2009; Polish; Fail)

Bring some money with you. (United States of America; A2 WAYSTAGE; 2009; Russian; Pass)"
280;NOUNS;uncountable;A2;FORM;FORM: WITH 'THE' ;Can use uncountable nouns with 'the' to talk about something specific. ;"The music is going to be loud, since it's rap. (Malaysia; A2 WAYSTAGE; 2009; French; Pass)

The weather was absolutely fine. (Russia; A2 WAYSTAGE; 2009; Russian; Pass)

If you can't find the information about the new art class after school, please call me. (Libya; A2 WAYSTAGE; 2006; Arabic - Meghreb; Pass)"
281;NOUNS;uncountable;A2;FORM;FORM: WITH DETERMINERS, QUANTITY;Can use uncountable nouns with a limited range of quantity words and phrases including 'some', 'any', 'a lot of', 'more'. ► Determiners: quantity;"It's really important for me, because I need to do some homework. (Czech Republic; A2 WAYSTAGE; 2005; Czech; Pass)

Now, I haven't got any money, but I am really happy! (Italy; A2 WAYSTAGE; 2008; Italian; Pass)

We have had a lot of fun. (Brazil; A2 WAYSTAGE; 2007; Portuguese; Pass)

I'm going to find more information about the new art class. (Spain; A2 WAYSTAGE; 2006; Spanish - European; Pass)"
282;NOUNS;uncountable;A2;FORM;FORM: CONTAINERS, QUANTITY EXPRESSIONS;Can refer to an individual example or quantity of an uncountable noun using words for containers and countable items. ;"We have to bring a bottle of water, trainers and a T-shirt or top. (Spain; A2 WAYSTAGE; 2006; Spanish - European; Pass)

You must bring with you two pencils, one rubber and a piece of paper. (Cyprus; A2 WAYSTAGE; 2006; Greek; Pass)

I have a piece of news. (Italy; A2 WAYSTAGE; 2008; Italian; Pass)

I can drink a cup of tea in a café. (Peru; A2 WAYSTAGE; 2005; Spanish - Latin American; Pass)"
284;PASSIVES;passives: form;A2;FORM;FORM: PAST SIMPLE, AFFIRMATIVE;Can use the past simple passive affirmative after a singular subject. ;"It was built in 1880. (China; A2 WAYSTAGE; 2001; Chinese; Pass)

On Saturday morning I was invited to a sports competition. (India; A2 WAYSTAGE; 2007; Tamil; Pass)"
285;PASSIVES;passives: form;A2;FORM;FORM: PRESENT SIMPLE, AFFIRMATIVE;Can use the present simple passive affirmative with a singular subject.;"The group is called ""playmo"". (France; A2 WAYSTAGE; 2005; French; Pass)

I bought a T-shirt, it cost £42 because it is made of cotton. (Argentina; A2 WAYSTAGE; 2008; Spanish - Latin American; Pass)"
286;PAST;past continuous;A2;FORM;FORM: AFFIRMATIVE;Can use the affirmative form. ;"I was waiting for you all Saturday evening. (Spanish - European, A2 WAYSTAGE, Pass, 2004) 

[talking about a holiday] I was swimming and sunbathing every day. (Russian, A2 WAYSTAGE, Pass, 2009)

We were dancing all evening. (Polish, A2 WAYSTAGE, Pass, 2004)"
287;PAST;past continuous;A2;FORM;FORM: WITH ADVERBS;Can use the past continuous with a limited range of adverbs in the normal mid position. ;"I was just watching a football match. (Bengali, A2 WAYSTAGE, Pass, 2007)

[talking about wanting to get a kitten] I was always dreaming about it. (Russian, A2 WAYSTAGE, Pass, 2004)"
290;PAST;past simple;A2;FORM;FORM: AFFIRMATIVE;Can use the affirmative form with an increasing range of verbs.;"I forgot to tell you some details about tomorrow evening. (Turkey; A2 WAYSTAGE; 2009; Turkish; Pass)

I spent about £35 on all those clothes. (Spain; A2 WAYSTAGE; 2008; Spanish - European; Pass)

[talking about a football game] I liked it very much because my favourite team won, it was great. (Peru; A2 WAYSTAGE; 2007; Spanish - Latin American; Pass)"
291;PAST;past simple;A2;FORM;FORM: NEGATIVE;Can use the negative form with a limited range of regular and irregular verbs.;"The player from China did not look very happy though. (Malaysia; A2 WAYSTAGE; 2007; Chinese; Pass)

You did not keep your promise. (Bangladesh; A2 WAYSTAGE; 2004; Bengali; Pass)

I didn't tell you that my house is opposite the new cinema. (Spain; A2 WAYSTAGE; 2009; Spanish - European; Pass)

They didn't cost much ... (India; A2 WAYSTAGE; 2008; Panjabi; Pass)

I was surprised because the heating didn't work. (Poland; A2 WAYSTAGE; 2010; Polish; Pass)"
292;PAST;past simple;A2;FORM;FORM: QUESTIONS;Can use 'yes/no' and 'wh-' question forms with 'you' with a limited range of verbs.;"Did you buy something yesterday? (Italy; A2 WAYSTAGE; 2008; Italian; Pass)

[talking about a lost phone] Did you find it? (Albania; A2 WAYSTAGE; 2005; Albanian; Pass)

And when did you go shopping last? (Russia; A2 WAYSTAGE; 2008; Russian; Pass)"
293;PAST;past simple;A2;FORM;FORM: WITH 'WHEN';Can use 'when' + past simple in subordinate clauses.;"When I arrived, the weather was horrible. (Argentina; A2 WAYSTAGE; 2009; Spanish - Latin American; Pass)

[talking about a missing phone] I think I left it in the kitchen when I fell on the slippery floor. (Mexico; A2 WAYSTAGE; 2005; Spanish - Latin American; Pass)"
296;PAST;present perfect simple;A2;FORM;FORM: AFFIRMATIVE;Can use the affirmative form 'have' + '-ed' with pronouns 'I' and 'we', and with a limited range of verbs.;"I have seen the Eiffel Tower and many old buildings. (Turkey; A2 WAYSTAGE; 1999; Turkish; Pass)

I like Japanese people and I've been to Japan more than three times. (China; A2 WAYSTAGE; 2002; Chinese; Pass)

We have seen the Tower of London, Big Ben, the Houses of the Parliament and of course Buckingham Palace. (France; A2 WAYSTAGE; 1999; French; Pass)"
297;PAST;present perfect simple;A2;FORM;FORM: NEGATIVE;Can use the negative form 'haven't' + '-ed' with 'I' with a limited range of verbs. ;"I haven't eaten Italian food for a long time. (Ecuador; A2 WAYSTAGE; 2003; Spanish - Latin American; Pass)

I haven't seen you for a long time. (A2 WAYSTAGE; 2008; Hungarian; Pass)"
298;PAST;present perfect simple;A2;FORM;FORM: QUESTIONS;Can use the question form 'have you' + '-ed' with with a limited range of verbs.;"Have you bought anything? (Italy; A2 WAYSTAGE; 2008; Italian; Pass)

Hi Jools, How have you been? (Japan; A2 WAYSTAGE; 2010; Japanese; Pass)

Where have you been? (Ecuador; A2 WAYSTAGE; 2010; Spanish - Latin American; Pass) 
"
299;PAST;present perfect simple;A2;FORM;FORM: WITH ADVERBS;Can use the present perfect simple with a limited range of adverbs in the normal mid position. ;"I have never seen a competition like that before, and I love it. (Brazil; A2 WAYSTAGE; 2007; Portuguese; Pass)

I have just seen your notice. (Malaysia; A2 WAYSTAGE; 2005; Chinese; Pass)"
301;PREPOSITIONS;prepositions;A2;FORM;FORM: SIMPLE;Can use an increasing range of simple (single-word) prepositions. ;"Please return it by tomorrow morning. (A2 Hindi)

My phone is blue like the sky. (A2 Greek)

The match was between Arsenal and Liverpool. (A2 Latin American Spanish)

We have to arrive home before 7.30pm. (A2 Thai)

My house is opposite the post office. (A2 Italian)

During the party I danced, played games, ate cake and talked to everyone. (A2 Portuguese)"
302;PREPOSITIONS;prepositions;A2;FORM;FORM: COMPLEX;Can use a limited range of complex prepositions. ;"We can meet in the park near to my house at 7.00 p.m. (A2 Spanish Latin American)

I have a lot of hobbies, such as reading, singing, drawing and so on. (A2 Chinese)

I will be free at 4 p.m. and we can meet each other in front of our tennis club. (A2 Farsi)"
303;PREPOSITIONS;prepositions;A2;FORM;FORM: 'JUST' + PREPOSITION;Can use 'just' to modify prepositions. ;"It's just near the cinema. (India; A2 WAYSTAGE; 2009; Hindi; Pass)

So you have to go along 3 blocks and turn on your left and just in front of you is the Cathedral and next to the Cathedral is the Zocalo. (Mexico; A2 WAYSTAGE; 2001; Spanish - Latin American; Pass)

My house is just after the library. (France; A2 WAYSTAGE; 2009; French; Pass)"
304;PREPOSITIONS;prepositions;A2;FORM;FORM: + '-ING';Can form prepositional phrases using the '-ing' form of verbs as complements. ;"I can help by bringing the sound box and bit box I am free at friday 7:30 pm. (Bangladesh; A2 WAYSTAGE; 2005; Bengali; Pass)

Thanks for replying. (Japan; A2 WAYSTAGE; 2008; Japanese; Pass)

I was crazy about playing tennis. (Russia; A2 WAYSTAGE; 2009; Russian; Pass)"
